Learning rate: 0.001, Batch size: 128, Sequence length: 10, Dropout: 0.1, Test loss: 7.826253425040746, Accuracy: 49.104594748858446
Learning rate: 0.001, Batch size: 128, Sequence length: 10, Dropout: 0.2, Test loss: 8.606649135345737, Accuracy: 42.83675799086758
Learning rate: 0.001, Batch size: 128, Sequence length: 10, Dropout: 0.3, Test loss: 7.641062915052998, Accuracy: 49.646832191780824
Learning rate: 0.001, Batch size: 128, Sequence length: 10, Dropout: 0.4, Test loss: 8.060780109335843, Accuracy: 46.90710616438356
Learning rate: 0.001, Batch size: 128, Sequence length: 10, Dropout: 0.5, Test loss: 8.619096740740074, Accuracy: 38.51312785388128
Learning rate: 0.001, Batch size: 128, Sequence length: 20, Dropout: 0.1, Test loss: 7.445942783355713, Accuracy: 36.72945205479452
Learning rate: 0.001, Batch size: 128, Sequence length: 20, Dropout: 0.2, Test loss: 6.796648302945224, Accuracy: 46.93921232876712
Learning rate: 0.001, Batch size: 128, Sequence length: 20, Dropout: 0.3, Test loss: 6.616996175592596, Accuracy: 48.394691780821915
Learning rate: 0.001, Batch size: 128, Sequence length: 20, Dropout: 0.4, Test loss: 7.348515185442838, Accuracy: 46.118721461187214
Learning rate: 0.001, Batch size: 128, Sequence length: 20, Dropout: 0.5, Test loss: 6.608105507763949, Accuracy: 43.51455479452055
Learning rate: 0.001, Batch size: 128, Sequence length: 40, Dropout: 0.1, Test loss: 6.053458023071289, Accuracy: 44.83447488584475
Learning rate: 0.001, Batch size: 128, Sequence length: 40, Dropout: 0.2, Test loss: 6.382445127313788, Accuracy: 46.70376712328767
Learning rate: 0.001, Batch size: 128, Sequence length: 40, Dropout: 0.3, Test loss: 6.110755842382257, Accuracy: 47.20319634703196
Learning rate: 0.001, Batch size: 128, Sequence length: 40, Dropout: 0.4, Test loss: 6.161471705003218, Accuracy: 44.99143835616438
Learning rate: 0.001, Batch size: 128, Sequence length: 40, Dropout: 0.5, Test loss: 6.34526421807029, Accuracy: 45.36244292237443
Learning rate: 0.001, Batch size: 128, Sequence length: 80, Dropout: 0.1, Test loss: 5.791010124342782, Accuracy: 45.40525114155251
Learning rate: 0.001, Batch size: 128, Sequence length: 80, Dropout: 0.2, Test loss: 5.365734696388245, Accuracy: 46.832191780821915
